Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BT_1176,708.5370314,-0.749214462,0.10217628,-7.332567425,2.26E-13,2.07E-11
BT_3110,916.0299306,0.690902136,0.094813834,7.286933858,3.17E-13,2.84E-11
BT_3767,413.1849482,0.918343839,0.126438898,7.263143359,3.78E-13,3.32E-11
BT_1408,4282.603509,-0.541465721,0.075427252,-7.178648347,7.04E-13,6.04E-11
BT_0556,16924.53581,-0.689737345,0.096239781,-7.166863208,7.67E-13,6.25E-11
BT_3202,2742.441431,3.034721653,0.423467864,7.166356445,7.70E-13,6.25E-11
BT_3414,4632.273721,1.416671426,0.197702978,7.165655485,7.74E-13,6.25E-11
BT_3164,9389.093364,0.614077349,0.086188065,7.124853665,1.04E-12,8.24E-11
BT_1952,3854.165929,-0.558365272,0.078469947,-7.115657601,1.11E-12,8.64E-11
BT_1054,4579.757656,-0.608948715,0.085984744,-7.082055327,1.42E-12,1.07E-10
BT_2277,394.9197697,1.3402766,0.189262824,7.081562929,1.43E-12,1.07E-10
BT_1207,3254.962012,-0.62910072,0.088928016,-7.07426912,1.50E-12,1.10E-10
BT_3264,2843.220837,0.667336107,0.094363013,7.072009344,1.53E-12,1.10E-10
BT_2155,17266.27099,0.860084488,0.122041096,7.047498912,1.82E-12,1.29E-10
BT_0553,4809.109003,-0.632647521,0.089917575,-7.035860615,1.98E-12,1.38E-10
BT_2990,512.0528705,1.251462014,0.177994774,7.030891902,2.05E-12,1.40E-10
BT_3456,2601.485469,0.726951545,0.103520872,7.022270308,2.18E-12,1.47E-10
BT_1949,812.1042133,-0.665754827,0.094839382,-7.01981405,2.22E-12,1.47E-10
BT_2565,5278.392044,0.707335713,0.10107663,6.998014412,2.60E-12,1.69E-10
BT_1164,4526.972095,-0.530368947,0.075873603,-6.990164285,2.75E-12,1.76E-10
BT_1190,260.8847884,1.376091025,0.197248863,6.976420555,3.03E-12,1.91E-10
BT_3703,959.9291482,1.383896084,0.199184013,6.947827119,3.71E-12,2.30E-10
BT_1183,4623.491212,-0.619984332,0.089720483,-6.910176064,4.84E-12,2.96E-10
BT_0703,1057.104673,-0.50260561,0.072808103,-6.903154865,5.09E-12,3.06E-10
BT_2933,21994.86754,0.80915206,0.11737318,6.893841184,5.43E-12,3.22E-10
BT_1624,725.164431,0.992275316,0.144232814,6.879677975,6.00E-12,3.46E-10
BT_3936,1679.555562,0.959494692,0.139442064,6.880955919,5.95E-12,3.46E-10
BT_1455,559.0038399,2.716941185,0.398244525,6.82229388,8.96E-12,5.09E-10
BT_3433,1507.394746,0.889258974,0.131351827,6.770054091,1.29E-11,7.21E-10
BT_0894,7197.897667,-0.325703193,0.048585643,-6.703692138,2.03E-11,1.12E-09
BT_3265,1910.209215,0.833935979,0.124817743,6.681229426,2.37E-11,1.29E-09
