Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BT_3622,14695.08971,-0.021972567,0.134603084,-0.163239701,0.870329708,0.999886879
BT_3623,2329.421927,0.017000572,0.092276246,0.184235629,0.85382861,0.999886879
BT_3624,4156.431226,0.228407525,0.120372324,1.897508641,0.057760839,0.999886879
BT_3625,11587.70125,0.60738154,0.293252462,2.071189908,0.038341052,0.999886879
BT_3626,5299.517864,0.632053636,0.275533802,2.293924129,0.021794857,0.999886879
BT_3627,6908.02882,0.588054792,0.285622095,2.058856098,0.039508026,0.999886879
BT_3628,6992.289765,0.614980526,0.268155915,2.293369234,0.021826756,0.999886879
BT_3629,16357.66872,0.573894954,0.274865908,2.087908826,0.03680606,0.999886879
BT_3630,25759.77796,0.555316842,0.257589587,2.15582023,0.031097705,0.999886879
BT_3631,12440.06674,0.566664169,0.232974105,2.432305382,0.015003052,0.999886879
BT_3632,8538.761359,0.531707252,0.236225505,2.250846081,0.024395288,0.999886879
BT_3636,9524.321597,-0.050565653,0.202721047,-0.249434647,0.803024587,0.999886879
BT_3637,5381.199902,0.02340496,0.079226899,0.295416839,0.767675471,0.999886879
BT_3638,4417.438236,-0.066537889,0.083220755,-0.799534788,0.423980383,0.999886879
BT_3639,1075.662029,-0.015615764,0.126654149,-0.123294532,0.901873871,0.999886879
BT_3640,1222.906635,-0.085378335,0.114433013,-0.746098814,0.455607726,0.999886879
BT_3641,864.5580088,-0.02069713,0.211866065,-0.097689688,0.922178704,0.999886879
BT_3642,2687.356006,0.035973489,0.131115794,0.274364272,0.783804696,0.999886879
BT_3643,1034.616715,0.090435907,0.138353604,0.653657763,0.513332321,0.999886879
BT_3644,7923.59543,-0.036551351,0.103207519,-0.354153955,0.723223509,0.999886879
BT_3645,2280.593874,0.034439743,0.141024943,0.244210296,0.807067953,0.999886879
BT_3646,4822.133743,0.059510008,0.081369546,0.731354792,0.464562471,0.999886879
BT_3647,2831.098049,-0.027867521,0.076198638,-0.365722037,0.7145725,0.999886879
BT_3648,14841.51219,-0.049043565,0.075740089,-0.647524525,0.517292527,0.999886879
BT_3649,12520.97159,-0.041216645,0.092552894,-0.445330696,0.656080788,0.999886879
BT_3650,211.3476087,-0.003890316,0.129407144,-0.030062604,0.976017125,0.999886879
BT_3651,82.10423542,0.150158434,0.285655508,0.52566266,0.599122612,0.999886879
BT_3652,72.32128849,0.055058886,0.277779124,0.19821103,0.842879958,0.999886879
BT_3653,73.9332745,0.088872129,0.291301501,0.305086408,0.760300343,0.999886879
BT_3654,323.626609,-0.040426803,0.148384931,-0.272445474,0.785279511,0.999886879
BT_3655,86.83904757,-0.176258343,0.218862473,-0.805338348,0.420624458,0.999886879
BT_3656,54.58231406,-0.258074692,0.315212627,-0.818732087,0.412939285,0.999886879
BT_3657,50.71561856,0.484771903,0.609252511,0.79568306,0.426216275,0.999886879
BT_3659,75.65570768,-0.042952158,0.392201718,-0.109515477,0.912793647,0.999886879
BT_3660,598.3574367,-0.056717722,0.185696447,-0.305432457,0.760036805,0.999886879
BT_3661,194.5071185,0.133895614,0.266442922,0.502530195,0.615294618,0.999886879
BT_3662,68.75522753,0.3730586,0.703634206,0.530188266,0.595981406,0.999886879
BT_3663,32.91701063,0.540777374,0.62369777,0.867050357,0.385914419,0.999886879
BT_3664,50.91339464,0.595243662,0.710087866,0.838267615,0.40188042,0.999886879
BT_3665,146.6515867,-0.114350749,0.350167727,-0.326559932,0.744000753,0.999886879
BT_3666,62.62790344,0.309255439,0.35793275,0.86400431,0.387585523,0.999886879
BT_3667,170.9636894,-0.151380816,0.16833819,-0.899266032,0.368510976,0.999886879
BT_3670,29.58089074,0.871346942,1.052175602,0.828138327,0.407592166,0.999886879
BT_3671,15.90325806,0.628468341,1.006512379,0.624401999,0.532363613,0.999886879
BT_3673,1389.580748,0.130703763,0.178030682,0.734164254,0.462848637,0.999886879
BT_3674,45.38248952,0.340485339,0.357087581,0.953506528,0.34033349,0.999886879
BT_3675,42.84449913,0.121570961,0.278096253,0.437154257,0.661999481,0.999886879
BT_3676,177.3014418,0.220416374,0.246121928,0.895557641,0.370489067,0.999886879
BT_3677,258.0518502,0.152171084,0.205441848,0.740701493,0.458874454,0.999886879
BT_3678,128.0042871,0.425724806,0.685837101,0.620737498,0.534772353,0.999886879
BT_3679,26.2044733,1.008045986,0.862833321,1.16829747,0.242686795,0.999886879
BT_3681,13.55951259,0.479625578,0.992069891,0.483459465,0.628769535,0.999886879
BT_3682,11.00980797,0.464861836,0.821543498,0.56583959,0.571502831,0.999886879
BT_3683,98.30955683,-0.104153888,0.342665854,-0.303951757,0.761164646,0.999886879
BT_3685,492.9870905,-0.035962587,0.129849882,-0.2769551,0.781814583,0.999886879
BT_3686,500.6475812,0.038713154,0.122108317,0.31703945,0.751213668,0.999886879
BT_3687,520.1914531,-0.062829444,0.180052827,-0.348950055,0.727126806,0.999886879
BT_3688,5623.952899,0.081234595,0.274441663,0.295999499,0.767230464,0.999886879
BT_3689,6330.456749,0.082114044,0.257163518,0.319306737,0.749493924,0.999886879
BT_3690,3767.225205,0.049267038,0.087984686,0.559950143,0.575513445,0.999886879
BT_3691,1634.389442,0.097142728,0.103565709,0.937981585,0.348253874,0.999886879
BT_3692,24004.24802,0.080779544,0.167684505,0.481735293,0.629994001,0.999886879
BT_3693,38481.17077,0.072297326,0.153551443,0.47083456,0.637758883,0.999886879
BT_3694,2212.147585,-0.010325154,0.15977403,-0.06462348,0.948473789,0.999886879
BT_3695,1262.607655,-0.200934727,0.164099921,-1.224465714,0.220776593,0.999886879
BT_3696,1537.042874,-0.039375675,0.105277872,-0.374016634,0.708391941,0.999886879
BT_3697,4525.035223,0.006122404,0.111821603,0.054751533,0.956336414,0.999886879
BT_3698,45.10553933,0.143617881,0.481025157,0.298566257,0.765271015,0.999886879
BT_3699,199.1552223,0.147081773,0.31740554,0.463387544,0.643086606,0.999886879
BT_3700,179.3008992,0.170562853,0.23623055,0.72201861,0.470283036,0.999886879
BT_3701,193.3843907,0.084186278,0.207432404,0.405849213,0.684853396,0.999886879
BT_3702,443.4011886,0.112046223,0.280764771,0.39907508,0.689837884,0.999886879
BT_3703,959.9291482,-0.056376073,0.201299589,-0.280060545,0.779431055,0.999886879
BT_3704,878.1257837,-0.196752696,0.180261347,-1.091485777,0.275059187,0.999886879
BT_3705,1482.594878,-0.029559023,0.074353642,-0.397546405,0.690964573,0.999886879
BT_3708,3281.546089,-0.067350555,0.148141595,-0.454636355,0.649370876,0.999886879
BT_3709,16033.60262,0.064954845,0.206089222,0.315178271,0.752626303,0.999886879
BT_3710,8736.845376,0.322555311,0.226164595,1.426197198,0.153811428,0.999886879
BT_3711,4636.245462,0.03724526,0.180553537,0.206283744,0.836569276,0.999886879
BT_3712,5708.572968,-0.024509681,0.158617423,-0.15452074,0.87719916,0.999886879
BT_3713,4521.907703,-0.112217502,0.199135688,-0.563522809,0.573078933,0.999886879
BT_3714,4211.909067,-0.081896902,0.181621787,-0.45092003,0.652047187,0.999886879
BT_3715,2334.800443,0.014933419,0.11630822,0.128395219,0.897836214,0.999886879
BT_3716,1900.104576,-0.032926299,0.119575312,-0.275360346,0.783039406,0.999886879
BT_3717,7114.656728,0.127264647,0.250213034,0.50862517,0.611014983,0.999886879
BT_3718,2852.276346,0.026013658,0.094791452,0.274430424,0.783753865,0.999886879
BT_3719,2396.272041,-0.000221786,0.097244889,-0.002280694,0.998180271,0.999886879
BT_3720,1172.632692,0.052279392,0.130198814,0.401535085,0.688026213,0.999886879
BT_3721,1139.329755,0.020511372,0.123452067,0.166148471,0.86804011,0.999886879
BT_3722,3622.535493,-0.066386221,0.07613069,-0.872003407,0.383206519,0.999886879
BT_3723,17713.28598,-0.073675922,0.132826904,-0.554676196,0.579116161,0.999886879
BT_3724,6682.883436,0.002331728,0.056818821,0.041037959,0.967265634,0.999886879
BT_3725,33892.185,-0.072666207,0.118297044,-0.614269002,0.539037583,0.999886879
BT_3726,9109.740446,-0.010784007,0.066187087,-0.162932185,0.870571829,0.999886879
BT_3727,23429.22378,-0.048142301,0.068496295,-0.702845329,0.482152145,0.999886879
BT_3728,3432.35446,-0.041975184,0.067673868,-0.620256908,0.535088661,0.999886879
BT_3729,1698.354085,0.036324961,0.199476432,0.182101516,0.855503059,0.999886879
BT_3730,2273.619373,0.100148181,0.156664356,0.639253136,0.52265827,0.999886879
BT_3731,19406.04662,0.015028279,0.136011665,0.110492577,0.912018737,0.999886879
BT_3732,3087.603002,-0.184518582,0.195724674,-0.942745632,0.345811027,0.999886879
BT_3733,6814.046213,-0.198583948,0.187202291,-1.060798707,0.28878139,0.999886879
BT_3734,1135.593548,-0.008810934,0.5508788,-0.015994324,0.98723892,0.999886879
BT_3735,174.5165918,-0.119620465,0.847601868,-0.141128128,0.887768723,0.999886879
BT_3736,229.5642914,-0.065410526,0.7892349,-0.0828784,0.933948229,0.999886879
BT_3737,191.5923249,-0.374822098,0.803029388,-0.466760126,0.640671507,0.999886879
BT_3738,247.5168908,0.091758289,0.36864001,0.248910284,0.80343018,0.999886879
BT_3739,111.4694641,-0.149373736,0.41689278,-0.358302525,0.720116929,0.999886879
BT_3740,352.2192014,-0.100920472,0.262652921,-0.384235104,0.700804203,0.999886879
BT_3741,383.0027965,-0.071505256,0.25155665,-0.284251107,0.776217952,0.999886879
BT_3742,20541.65824,-0.010137693,0.117697254,-0.086133641,0.931360182,0.999886879
BT_3743,49350.87225,-0.017525352,0.112844209,-0.15530573,0.876580299,0.999886879
BT_3744,2139.216663,-0.019001673,0.176439208,-0.107695298,0.914237399,0.999886879
BT_3745,3289.376367,-0.091853747,0.217224856,-0.422850997,0.672403978,0.999886879
BT_3746,1306.703874,-0.073508432,0.138628358,-0.530255377,0.595934881,0.999886879
BT_3747,47.18039987,-0.311563675,0.299874207,-1.038981238,0.298813462,0.999886879
BT_3748,209.2987092,-0.002595416,0.223060896,-0.011635459,0.990716457,0.999886879
BT_3749,90.40715333,-0.234541259,0.2769008,-0.847022688,0.396982476,0.999886879
BT_3750,97.9855192,0.046859634,0.294189235,0.159283987,0.873445136,0.999886879
BT_3751,23.60020274,0.342272968,0.563716845,0.607171795,0.543736908,0.999886879
BT_3752,54.44914539,0.030621845,0.430226643,0.071176077,0.943257621,0.999886879
BT_3753,43.59504126,0.171956047,0.604820788,0.284309089,0.776173521,0.999886879
BT_3754,74.41235406,-0.137490068,0.231430321,-0.594088394,0.552452993,0.999886879
BT_3755,7942.220068,-0.144875544,0.071183124,-2.035251295,0.041825594,0.999886879
BT_3756,2729.118486,-0.106890875,0.072577508,-1.472782371,0.140809727,0.999886879
BT_3757,2949.203596,-0.065508376,0.073377434,-0.892759153,0.371986165,0.999886879
BT_3758,5370.124209,-0.011379051,0.121147076,-0.093927574,0.92516669,0.999886879
BT_3759,3246.235089,-0.023589554,0.11730621,-0.201093823,0.840625212,0.999886879
BT_3760,4642.576034,0.00417454,0.115076266,0.036276287,0.971062058,0.999886879
BT_3761,1336.761545,-0.026153412,0.113840116,-0.229738103,0.818295285,0.999886879
BT_3762,643.9156956,-0.012408793,0.143804192,-0.086289505,0.931236281,0.999886879
BT_3763,15.80153754,1.125244719,1.135204455,0.991226483,0.321575002,0.999886879
BT_3764,13.37139604,-0.14855333,0.724900004,-0.20492941,0.837627277,0.999886879
BT_3765,17.92316714,0.868260318,0.893610072,0.971632197,0.331233559,0.999886879
BT_3766,12.70393996,0.119309345,0.526392874,0.226654559,0.820692364,0.999886879
BT_3767,413.1849482,-0.099784907,0.131955778,-0.756199603,0.449529531,0.999886879
BT_3768,2220.876346,-0.016413368,0.090016155,-0.182338024,0.85531746,0.999886879
BT_3769,1484.066806,0.030045488,0.519521691,0.057832982,0.953881667,0.999886879
BT_3770,2370.705165,-0.038239242,0.263742312,-0.144987134,0.88472103,0.999886879
BT_3771,15397.62749,-0.105659011,0.235665334,-0.448343459,0.653905341,0.999886879
BT_3772,8109.908237,-0.05759408,0.221221842,-0.260345361,0.794597386,0.999886879
BT_3773,3530.280976,-0.108939524,0.186081877,-0.585438658,0.558252802,0.999886879
BT_3774,1679.518029,-0.139013518,0.171067881,-0.812621968,0.416434833,0.999886879
BT_3775,20.19910669,-0.009217761,0.668363455,-0.01379154,0.988996292,0.999886879
BT_3776,17.68366303,0.611289468,0.729114774,0.838399508,0.401806365,0.999886879
BT_3777,16.40114182,0.69704301,0.521182914,1.337424907,0.181083979,0.999886879
BT_3779,52.0849236,-0.290806946,0.344585602,-0.843932376,0.398707195,0.999886879
BT_3780,107.4340694,0.00988517,0.263956426,0.037450008,0.9701262,0.999886879
BT_3781,841.3506434,-0.215312641,0.139903308,-1.539010363,0.123801766,0.999886879
BT_3782,1276.666205,-0.047684462,0.080336539,-0.593558824,0.552807228,0.999886879
BT_3783,3302.441541,-0.024554546,0.09945141,-0.246899932,0.804985669,0.999886879
BT_3784,1935.617115,-0.090206796,0.204376004,-0.441376651,0.658940343,0.999886879
BT_3786,384.9184516,0.251326007,0.230307287,1.091263811,0.275156817,0.999886879
BT_3787,56.86998043,0.121064101,0.454587455,0.266316413,0.789995533,0.999886879
BT_3788,134.4445598,0.33096459,0.563691366,0.587137945,0.557111065,0.999886879
BT_3789,56.0899742,0.091440835,0.448257251,0.203991871,0.838359851,0.999886879
BT_3790,25.44140066,0.083871166,0.53010133,0.158217234,0.874285624,0.999886879
BT_3791,56.07086941,0.49459371,0.586684128,0.843032368,0.399210341,0.999886879
BT_3792,52.51207588,0.458891201,0.448623945,1.022886107,0.306361699,0.999886879
BT_3793,250.1656235,-0.125390737,0.374256233,-0.335039809,0.737595056,0.999886879
BT_3794,335.6277628,-0.220574231,0.883641089,-0.249619708,0.802881456,0.999886879
BT_3797,17.8586088,0.492974988,0.520271399,0.947534285,0.343366594,0.999886879
BT_3799,21.13870424,0.305918298,0.59950146,0.510287829,0.609849828,0.999886879
BT_3800,721.4935358,-0.03072478,0.109687631,-0.280111616,0.779391873,0.999886879
BT_3801,5114.741343,0.185354603,0.091621396,2.023049331,0.043068062,0.999886879
BT_3802,4472.900355,0.099102627,0.086889978,1.140553021,0.254055977,0.999886879
BT_3803,4914.400289,0.11197586,0.09219117,1.214605047,0.224516763,0.999886879
BT_3804,2591.70145,0.088429634,0.12865572,0.68733543,0.491871377,0.999886879
BT_3805,2632.763893,-0.024539115,0.067403354,-0.364063708,0.715810437,0.999886879
BT_3806,11963.65441,0.081258664,0.2167589,0.374880406,0.707749412,0.999886879
BT_3807,5104.435768,0.072509899,0.231717016,0.31292436,0.75433813,0.999886879
BT_3808,10441.94898,-0.015629384,0.095175987,-0.164215627,0.869561399,0.999886879
BT_3809,6175.152123,-0.064284277,0.162047651,-0.396699839,0.691588819,0.999886879
BT_3810,8394.440046,-0.176808613,0.341198314,-0.518198965,0.604319457,0.999886879
BT_3811,24420.42237,-0.196762605,0.333221287,-0.590486301,0.554864667,0.999886879
BT_3812,27930.69936,-0.05981382,0.110684158,-0.540400909,0.588920581,0.999886879
BT_3813,15474.77593,-0.026680979,0.111094781,-0.24016411,0.810203035,0.999886879
BT_3814,5822.3295,-0.029668342,0.119233913,-0.24882469,0.803496392,0.999886879
BT_3815,1469.02198,-0.070109632,0.100300074,-0.698998809,0.484552775,0.999886879
BT_3816,6308.719217,-0.039173931,0.097679037,-0.401047479,0.688385168,0.999886879
BT_3817,2349.292207,0.000202913,0.132847617,0.001527413,0.998781301,0.999886879
BT_3818,1547.118129,0.043725099,0.102396615,0.427017039,0.669366917,0.999886879
